,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1006,2014-01-02,19.85,19.89,19.72,19.75,17.22,235168060,235168060,-0.091071,-0.50378,19.8025,"January 02, 14",-0.0050378
1005,2014-01-03,19.74,19.77,19.3,19.32,16.84,393215872,393215872,-0.42429,-2.13,19.5325,"January 03, 14",-0.0213
1004,2014-01-06,19.19,19.53,19.06,19.43,16.93,413437016,413437016,0.23143,1.25,19.3025,"January 06, 14",0.0125
1003,2014-01-07,19.44,19.5,19.21,19.29,16.81,317731380,317731380,-0.15295,-0.7716,19.36,"January 07, 14",-0.007716
1002,2014-01-08,19.24,19.48,19.24,19.41,16.91,258746996,258746996,0.16607,0.88358,19.3425,"January 08, 14",0.0088358
1001,2014-01-09,19.53,19.53,19.12,19.16,16.7,279621072,279621072,-0.36718,-1.89,19.335,"January 09, 14",-0.0189
1000,2014-01-10,19.28,19.31,18.97,19.03,16.59,305282960,305282960,-0.24607,-1.3,19.1475,"January 10, 14",-0.013
999,2014-01-13,18.93,19.37,18.92,19.13,16.67,379443748,379443748,0.20786,1.06,19.0875,"January 13, 14",0.0106
998,2014-01-14,19.22,19.53,19.2,19.51,17.01,334937816,334937816,0.29179,1.51,19.365,"January 14, 14",0.0151
997,2014-01-15,19.77,20.01,19.7,19.91,17.35,393890868,393890868,0.13714,0.70814,19.8475,"January 15, 14",0.0070814
996,2014-01-16,19.82,19.89,19.7,19.79,17.25,229885548,229885548,-0.023214,-0.15136,19.8,"January 16, 14",-0.0015136
995,2014-01-17,19.7,19.72,19.28,19.31,16.83,433707188,433707188,-0.38607,-1.98,19.5025,"January 17, 14",-0.0198
994,2014-01-21,19.32,19.65,19.3,19.61,17.09,329022504,329022504,0.28857,1.5,19.47,"January 21, 14",0.015
993,2014-01-22,19.68,19.9,19.56,19.7,17.16,380877716,380877716,0.021261,0.10163,19.71,"January 22, 14",0.0010163
992,2014-01-23,19.64,19.87,19.46,19.86,17.31,403913784,403913784,0.22286,1.12,19.7075,"January 23, 14",0.0112
991,2014-01-24,19.79,19.84,19.46,19.5,17.0,433538180,433538180,-0.28322,-1.47,19.6475,"January 24, 14",-0.0147
990,2014-01-27,19.65,19.81,19.49,19.66,17.13,576877184,576877184,0.015358,0.05089059,19.6525,"January 27, 14",0.0005089059
989,2014-01-28,18.17,18.39,17.93,18.09,15.76,1067335388,1067335388,-0.080714,-0.44029,18.145,"January 28, 14",-0.0044029
988,2014-01-29,18.0,18.12,17.81,17.88,15.59,503771684,503771684,-0.11428,-0.66667,17.9525,"January 29, 14",-0.0066667
987,2014-01-30,17.95,18.09,17.74,17.85,15.55,679051832,679051832,-0.0985,-0.5571,17.9075,"January 30, 14",-0.005571
986,2014-01-31,17.68,17.91,17.63,17.88,15.58,465346240,465346240,0.19357,1.13,17.775,"January 31, 14",0.0113
985,2014-02-03,17.95,18.13,17.83,17.91,15.61,402483488,402483488,-0.038571,-0.22284,17.955,"February 03, 14",-0.0022284
984,2014-02-04,18.07,18.19,17.96,18.17,15.84,377094548,377094548,0.105,0.5534,18.0975,"February 04, 14",0.005534
983,2014-02-05,18.09,18.4,18.08,18.31,15.95,329288952,329288952,0.21536,1.22,18.22,"February 05, 14",0.0122
982,2014-02-06,18.22,18.34,18.14,18.3,16.05,257989148,257989148,0.0875,0.43908,18.25,"February 06, 14",0.0043908
981,2014-02-07,18.62,18.68,18.48,18.56,16.27,374554776,374554776,-0.060715,-0.32223,18.585,"February 07, 14",-0.0032223
980,2014-02-10,18.52,19.0,18.5,18.89,16.56,345804432,345804432,0.36893,2.0,18.7275,"February 10, 14",0.02
979,2014-02-11,18.95,19.21,18.91,19.14,16.78,282689288,282689288,0.19107,1.0,19.0525,"February 11, 14",0.01
978,2014-02-12,19.18,19.27,19.04,19.14,16.78,308508564,308508564,-0.036786,-0.20855,19.1575,"February 12, 14",-0.0020855
977,2014-02-13,19.09,19.46,19.08,19.44,17.05,307840928,307840928,0.34893,1.83,19.2675,"February 13, 14",0.0183
976,2014-02-14,19.37,19.5,19.33,19.43,17.03,273872416,273872416,0.054286,0.30976,19.4075,"February 14, 14",0.0030976
975,2014-02-18,19.5,19.69,19.49,19.5,17.09,261225252,261225252,-0.000358,0.0,19.545,"February 18, 14",0.0
